Type,id,location,edges--transmission_edge--commodity,edges--transmission_edge--has_capacity,edges--transmission_edge--can_expand,edges--transmission_edge--can_retire,edges--transmission_edge--integer_decisions,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--fixed_om_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--loss_fraction
OneWayTransmissionLink,Region27Shaanxi_to_SichuanBasin_CO2_Pipeline,Region27Shaanxi,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region27Shaanxi,co2_transported_Region27Shaanxi_to_SichuanBasin,1,0,0.001265317982385237,0,1.6599852328767123e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region15Shandong_to_BohaiOffshore_CO2_Pipeline,Region15Shandong,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region15Shandong,co2_transported_Region15Shandong_to_BohaiOffshore,1,0,0.0005446076712328767,0,1.63382301369863e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region15Shandong_to_BohaiOnshore_CO2_Pipeline,Region15Shandong,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region15Shandong,co2_transported_Region15Shandong_to_BohaiOnshore,1,0,0.0004012206141912838,0,5.0237535616438345e-06,0.08,25,15,0.0
OneWayTransmissionLink,Region15Shandong_to_Hehuai_CO2_Pipeline,Region15Shandong,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region15Shandong,co2_transported_Region15Shandong_to_Hehuai,1,0,0.0007539739080816948,0,1.1551253013698629e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region15Shandong_to_Region16Henan_CO2_Pipeline,Region15Shandong,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region15Shandong,co2_transported_Region15Shandong_to_Region16Henan,1,0,0.0009724911551463212,0,1.4285441506849314e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region15Shandong_to_NorthYellowSea_CO2_Pipeline,Region15Shandong,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region15Shandong,co2_transported_Region15Shandong_to_NorthYellowSea,1,0,0.0009011309589041095,0,2.7033928767123282e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region15Shandong_to_SouthYellowSea_CO2_Pipeline,Region15Shandong,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region15Shandong,co2_transported_Region15Shandong_to_SouthYellowSea,1,0,0.0008511583561643834,0,2.5534750684931503e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region15Shandong_to_Subei_CO2_Pipeline,Region15Shandong,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region15Shandong,co2_transported_Region15Shandong_to_Subei,1,0,0.0009087473369023717,0,1.6095136849315067e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region9Shanghai_to_EastChinaSea_CO2_Pipeline,Region9Shanghai,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region9Shanghai,co2_transported_Region9Shanghai_to_EastChinaSea,1,0,0.000608572602739726,0,1.825717808219178e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region9Shanghai_to_Region10Jiangsu_CO2_Pipeline,Region9Shanghai,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region9Shanghai,co2_transported_Region9Shanghai_to_Region10Jiangsu,1,0,0.0008690886768333552,0,1.1374154794520546e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region9Shanghai_to_SouthYellowSea_CO2_Pipeline,Region9Shanghai,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region9Shanghai,co2_transported_Region9Shanghai_to_SouthYellowSea,1,0,0.0007998895890410959,0,2.3996687671232876e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region9Shanghai_to_Subei_CO2_Pipeline,Region9Shanghai,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region9Shanghai,co2_transported_Region9Shanghai_to_Subei,1,0,0.0006382272407473277,0,8.204587808219177e-06,0.08,25,15,0.0
OneWayTransmissionLink,Region9Shanghai_to_Region11Zhejiang_CO2_Pipeline,Region9Shanghai,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region9Shanghai,co2_transported_Region9Shanghai_to_Region11Zhejiang,1,0,0.0005974260176436541,0,5.922534246575342e-06,0.08,25,15,0.0
OneWayTransmissionLink,Region4Shanxi_to_Region5Innermongolia_CO2_Pipeline,Region4Shanxi,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region4Shanxi,co2_transported_Region4Shanxi_to_Region5Innermongolia,1,0,0.0005301853388255752,0,1.0218538356164382e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region4Shanxi_to_Ordos_CO2_Pipeline,Region4Shanxi,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region4Shanxi,co2_transported_Region4Shanxi_to_Ordos,1,0,0.0005091094557346873,0,1.2645332876712328e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region4Shanxi_to_Qinshui_CO2_Pipeline,Region4Shanxi,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region4Shanxi,co2_transported_Region4Shanxi_to_Qinshui,1,0,0.0003133866161910148,0,3.8300017808219174e-06,0.08,25,15,0.0
