Type,id,location,edges--co2_captured_edge--integer_decisions,edges--co2_captured_edge--can_retire,edges--co2_captured_edge--constraints--CapacityConstraint,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--can_expand,edges--co2_captured_edge--uc,edges--co2_captured_edge--has_capacity,edges--co2_storage_edge--unidirectional,edges--co2_storage_edge--commodity,edges--co2_storage_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--co2_captured_edge--investment_cost,edges--co2_captured_edge--fixed_om_cost,edges--co2_captured_edge--variable_om_cost,edges--co2_captured_edge--wacc,edges--co2_captured_edge--lifetime,edges--co2_captured_edge--capital_recovery_period,edges--co2_captured_edge--existing_capacity,edges--co2_captured_edge--start_vertex,edges--co2_storage_edge--end_vertex
CO2Injection,Region10Jiangsu_to_Subei_CO2_Injection,Region10Jiangsu,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,62938.98289948453,0,1888.1694869845358,0.08,40,20,0,co2_transported_Region10Jiangsu_to_Subei,co2_storage_Subei
CO2Injection,Region7Jilin_to_NorthYellowSea_CO2_Injection,Region7Jilin,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,53466.01389810426,0,1603.9804169431277,0.08,40,20,0,co2_transported_Region7Jilin_to_NorthYellowSea,co2_storage_NorthYellowSea
CO2Injection,Region7Jilin_to_Sanjiang_CO2_Injection,Region7Jilin,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,18376.218786713285,0,551.2865636013985,0.08,40,20,0,co2_transported_Region7Jilin_to_Sanjiang,co2_storage_Sanjiang
CO2Injection,Region7Jilin_to_Songliao_CO2_Injection,Region7Jilin,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1880221.48875,0,56406.644662499995,0.08,40,20,0,co2_transported_Region7Jilin_to_Songliao,co2_storage_Songliao
CO2Injection,Region6Liaoning_to_BohaiOffshore_CO2_Injection,Region6Liaoning,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,46204.006708804285,0,1386.1202012641286,0.08,40,20,0,co2_transported_Region6Liaoning_to_BohaiOffshore,co2_storage_BohaiOffshore
CO2Injection,Region6Liaoning_to_Erlian_CO2_Injection,Region6Liaoning,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,138958.1042269737,0,4168.7431268092105,0.08,40,20,0,co2_transported_Region6Liaoning_to_Erlian,co2_storage_Erlian
CO2Injection,Region6Liaoning_to_NorthYellowSea_CO2_Injection,Region6Liaoning,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,53466.01389810426,0,1603.9804169431277,0.08,40,20,0,co2_transported_Region6Liaoning_to_NorthYellowSea,co2_storage_NorthYellowSea
CO2Injection,Region6Liaoning_to_Songliao_CO2_Injection,Region6Liaoning,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1880221.48875,0,56406.644662499995,0.08,40,20,0,co2_transported_Region6Liaoning_to_Songliao,co2_storage_Songliao
CO2Injection,Nanxiang_to_Hehuai_CO2_Injection,Nanxiang,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,293230.85901536315,0,8796.925770460894,0.08,40,20,0,co2_transported_Nanxiang_to_Hehuai,co2_storage_Hehuai
CO2Injection,Nanxiang_to_Jianghan_CO2_Injection,Nanxiang,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,11496621.8784375,0,344898.656353125,0.08,40,20,0,co2_transported_Nanxiang_to_Jianghan,co2_storage_Jianghan
